     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -29.99       -33.42        -0.25         6.44         0.14    54
      -29.50       -32.91        -7.66         6.83         0.14    62
      -29.02       -32.40       -12.53         6.38         0.14    58
      -28.51       -31.84       -10.04         6.48         0.15    60
      -28.00       -31.30        -4.77         6.96         0.14    66
      -27.51       -30.77         2.29         5.33         0.13    71
      -27.02       -30.25         9.49         5.49         0.14    78
      -26.51       -29.70        19.69         5.20         0.14    74
      -25.99       -29.14        25.86         4.96         0.14    83
      -25.49       -28.60        28.75         6.69         0.15   116
      -25.00       -28.06        30.05         7.29         0.14   108
      -24.49       -27.52        30.83         5.93         0.14   124
      -24.00       -26.98        32.14         4.69         0.14   137
      -23.50       -26.44        34.86         6.56         0.14   135
      -22.99       -25.88        39.43         6.31         0.15   146
      -22.49       -25.34        37.58         7.32         0.14   157
      -22.00       -24.80        30.88         6.69         0.14   164
      -21.50       -24.25        21.59         8.34         0.15   161
      -21.00       -23.70        10.91         8.76         0.15   159
      -20.50       -23.15         1.32         6.60         0.14   161
      -20.01       -22.61        -7.99         6.82         0.14   173
      -19.49       -22.04       -16.67         7.21         0.14   167
      -19.00       -21.49       -30.35        10.10         0.15   158
      -18.50       -20.94       -44.01        10.40         0.14   149
      -18.00       -20.38       -53.61         8.53         0.14   167
      -17.51       -19.84       -56.85         8.44         0.14   146
      -17.01       -19.28       -51.34        11.88         0.14   167
      -16.50       -18.71       -42.18        12.92         0.14   167
      -16.01       -18.17       -31.31        16.06         0.14   163
      -15.49       -17.59       -18.73        16.73         0.14   138
      -15.01       -17.05       -13.33        13.20         0.14   132
      -14.49       -16.46         2.00        12.75         0.13   102
      -14.00       -15.91         3.18        12.72         0.16   101
      -13.48       -15.33         8.84        14.72         0.14   101
      -12.97       -14.76        22.06        13.37         0.14   118
      -12.47       -14.19        28.27        12.08         0.14   136
      -11.99       -13.65        30.34        11.19         0.14   142
      -11.50       -13.10        34.59        12.11         0.14   137
      -11.00       -12.54        34.61        13.55         0.15   154
      -10.49       -11.96        35.34        12.73         0.15   147
       -9.98       -11.38        39.83        14.89         0.14   169
       -9.49       -10.82        40.87        16.60         0.14   179
       -8.99       -10.25        47.23        16.96         0.14   195
       -8.48        -9.68        54.07        17.24         0.14   202
       -7.99        -9.12        62.58        16.14         0.14   205
       -7.50        -8.56        79.72        19.04         0.14   188
       -6.99        -7.98        96.23        25.54         0.15   150
       -6.48        -7.40       120.16        24.29         0.14   206
       -5.99        -6.84       133.82        11.37         0.14   231
       -5.49        -6.27       129.28        10.45         0.14   242
       -4.99        -5.71       120.08        12.59         0.14   235
       -4.49        -5.13       108.46        11.66         0.15   214
       -4.00        -4.57        97.59        12.11         0.15   205
       -3.49        -3.99        94.54        12.33         0.14   150
       -3.00        -3.42        90.96        13.17         0.14   145
       -2.51        -2.87        84.15        13.90         0.14   106
       -1.99        -2.27        77.19        12.11         0.15    93
       -1.50        -1.72        73.53         9.19         0.14    86
       -0.99        -1.13        75.80        10.44         0.14   100
       -0.47        -0.54        79.01         9.49         0.15   109
       -0.01        -0.01        79.73        14.38         0.14   130
        0.50         0.57        73.80        10.04         0.16   104
        1.00         1.15        77.90        11.26         0.13   154
        1.48         1.70        85.66        12.16         0.14   147
        2.00         2.29        86.91        19.53         0.14   139
        2.49         2.85        96.45        17.71         0.14   162
        2.99         3.42       102.52        17.50         0.16   123
        3.51         4.01        93.57        17.44         0.13   136
        4.00         4.57        98.13        12.66         0.14   163
        4.51         5.16        97.67         9.37         0.14   225
        5.01         5.73       100.67        14.28         0.14   218
        5.51         6.29        93.20        14.62         0.15   199
        6.00         6.85        98.31        11.57         0.14   228
        6.49         7.41       101.20        13.28         0.14   222
        6.99         7.98        94.43         8.85         0.14   238
        7.49         8.55        88.57         8.79         0.15   232
        7.98         9.10        84.96         8.65         0.14   243
        8.49         9.69        80.99         9.92         0.15   223
        8.98        10.25        75.49        14.59         0.14   209
        9.48        10.82        60.67        16.60         0.14   203
       10.00        11.40        52.08        17.98         0.15   221
       10.49        11.96        47.22        16.45         0.15   209
       10.98        12.51        42.29        15.55         0.14   191
       11.50        13.10        32.54         8.68         0.14   205
       12.00        13.66        27.32         8.07         0.13   196
       12.49        14.21        21.22         9.85         0.14   166
       13.00        14.79         9.80         8.63         0.14   141
       13.49        15.34         1.96        11.65         0.14   164
       14.00        15.91        -8.41        17.26         0.15   165
       14.48        16.46       -15.47        19.92         0.14   157
       15.00        17.04       -19.60        16.79         0.14   174
       15.50        17.59       -16.45        11.11         0.14   154
       16.00        18.15       -13.48        10.27         0.15   177
       16.51        18.72        -6.21        10.90         0.14   207
       17.01        19.28         3.54        12.61         0.14   190
       17.50        19.82        13.61        15.94         0.14   241
       18.01        20.39        29.48        15.60         0.14   238
       18.49        20.93        47.47        12.18         0.15   233
       19.00        21.49        67.60        17.89         0.15   190
       19.50        22.04        90.73        16.96         0.15   203
       19.98        22.57       114.33        19.36         0.14   180
       20.51        23.16       135.52        15.96         0.14   156
       21.01        23.71       137.82        15.51         0.14   182
       21.51        24.26       131.43        15.48         0.14   212
       22.02        24.82       117.04        14.47         0.14   289
       22.50        25.35        98.02        23.58         0.15   240
       22.99        25.88        75.86        13.53         0.14   283
       23.50        26.44        54.41        11.19         0.14   266
       24.00        26.98        41.44        10.02         0.15   269
       24.50        27.53        34.67         8.31         0.14   237
       24.99        28.06        27.61         7.28         0.15   237
       25.49        28.60        20.41         8.66         0.14   190
       25.99        29.14         9.48        11.77         0.15   174
       26.50        29.69        -5.31        12.14         0.14   167
       26.99        30.22       -15.75        10.91         0.15   172
       27.51        30.77       -21.20        10.04         0.14   158
       27.99        31.29       -23.43         8.96         0.14   149
       28.51        31.85       -16.84         8.68         0.14   142
       29.00        32.37        -7.84        12.47         0.14   141
       29.49        32.89         4.34        13.74         0.15   113
       30.00        33.44        16.42        12.35         0.14    86
