PC_Latitude,I/F,Error
-90.0,nan,nan
-89.9,nan,nan
-89.8,nan,nan
-89.7,nan,nan
-89.6,nan,nan
-89.5,nan,nan
-89.4,nan,nan
-89.3,nan,nan
-89.2,nan,nan
-89.1,nan,nan
-89.0,nan,nan
-88.9,nan,nan
-88.8,nan,nan
-88.7,nan,nan
-88.6,nan,nan
-88.5,nan,nan
-88.4,nan,nan
-88.3,nan,nan
-88.2,nan,nan
-88.1,nan,nan
-88.0,nan,nan
-87.9,nan,nan
-87.8,nan,nan
-87.7,nan,nan
-87.6,nan,nan
-87.5,nan,nan
-87.4,nan,nan
-87.3,nan,nan
-87.2,nan,nan
-87.1,nan,nan
-87.0,nan,nan
-86.9,nan,nan
-86.8,nan,nan
-86.7,nan,nan
-86.6,nan,nan
-86.5,nan,nan
-86.4,nan,nan
-86.3,nan,nan
-86.2,nan,nan
-86.1,nan,nan
-86.0,nan,nan
-85.9,nan,nan
-85.8,nan,nan
-85.7,nan,nan
-85.6,nan,nan
-85.5,nan,nan
-85.4,nan,nan
-85.3,nan,nan
-85.2,nan,nan
-85.1,nan,nan
-85.0,nan,nan
-84.9,nan,nan
-84.8,nan,nan
-84.7,nan,nan
-84.6,nan,nan
-84.5,nan,nan
-84.4,nan,nan
-84.3,nan,nan
-84.2,nan,nan
-84.1,nan,nan
-84.0,nan,nan
-83.9,nan,nan
-83.8,nan,nan
-83.7,nan,nan
-83.6,nan,nan
-83.5,nan,nan
-83.4,nan,nan
-83.3,nan,nan
-83.2,nan,nan
-83.1,nan,nan
-83.0,nan,nan
-82.9,nan,nan
-82.8,nan,nan
-82.7,nan,nan
-82.6,nan,nan
-82.5,nan,nan
-82.4,nan,nan
-82.3,nan,nan
-82.2,nan,nan
-82.1,nan,nan
-82.0,nan,nan
-81.9,nan,nan
-81.8,nan,nan
-81.7,nan,nan
-81.6,nan,nan
-81.5,nan,nan
-81.4,nan,nan
-81.3,nan,nan
-81.2,nan,nan
-81.1,nan,nan
-81.0,nan,nan
-80.9,nan,nan
-80.8,nan,nan
-80.7,nan,nan
-80.6,nan,nan
-80.5,nan,nan
-80.4,nan,nan
-80.3,nan,nan
-80.2,nan,nan
-80.1,nan,nan
-80.0,nan,nan
-79.9,nan,nan
-79.8,nan,nan
-79.7,nan,nan
-79.6,nan,nan
-79.5,nan,nan
-79.4,nan,nan
-79.3,nan,nan
-79.2,nan,nan
-79.1,nan,nan
-79.0,nan,nan
-78.9,nan,nan
-78.8,nan,nan
-78.7,nan,nan
-78.6,nan,nan
-78.5,nan,nan
-78.4,nan,nan
-78.3,nan,nan
-78.2,nan,nan
-78.1,nan,nan
-78.0,nan,nan
-77.9,nan,nan
-77.8,nan,nan
-77.7,nan,nan
-77.6,nan,nan
-77.5,nan,nan
-77.4,nan,nan
-77.3,nan,nan
-77.2,nan,nan
-77.1,nan,nan
-77.0,nan,nan
-76.9,nan,nan
-76.8,nan,nan
-76.7,nan,nan
-76.6,nan,nan
-76.5,nan,nan
-76.4,nan,nan
-76.3,nan,nan
-76.2,nan,nan
-76.1,0.3285906,0.011871143
-76.0,0.32750314,0.013255634
-75.9,0.32651424,0.014284176
-75.8,0.32487765,0.015655765
-75.7,0.32304677,0.016934216
-75.6,0.32111523,0.017997112
-75.5,0.31920204,0.018835774
-75.4,0.31725696,0.019479102
-75.3,0.31544244,0.020073773
-75.2,0.31383032,0.020704733
-75.1,0.3123534,0.021396924
-75.0,0.31090868,0.02212229
-74.9,0.30943766,0.022802219
-74.8,0.30800083,0.023501247
-74.7,0.30655468,0.024185764
-74.6,0.3050998,0.024861066
-74.5,0.30367035,0.02550194
-74.4,0.3022602,0.026159585
-74.3,0.30084297,0.026801359
-74.2,0.29946893,0.027424442
-74.1,0.29779455,0.027761582
-74.0,0.29584384,0.02786822
-73.9,0.2935687,0.027664963
-73.8,0.29130706,0.02745448
-73.7,0.28906357,0.027238943
-73.6,0.28683734,0.027043022
-73.5,0.2846574,0.02683245
-73.4,0.2824886,0.02661419
-73.3,0.2803235,0.026380852
-73.2,0.2781825,0.026131628
-73.1,0.27606562,0.02588936
-73.0,0.27396536,0.025649311
-72.9,0.27187955,0.025403457
-72.8,0.2698001,0.025164563
-72.7,0.26772717,0.024938755
-72.6,0.26567614,0.024712898
-72.5,0.26364183,0.024499204
-72.4,0.26161855,0.024298133
-72.3,0.25959545,0.024115691
-72.2,0.2576034,0.023935892
-72.1,0.25563097,0.02376682
-72.0,0.25367182,0.02360172
-71.9,0.25174007,0.023433987
-71.8,0.2498347,0.023273466
-71.7,0.24795316,0.02312408
-71.6,0.24609332,0.022979053
-71.5,0.24425042,0.02284118
-71.4,0.2424305,0.022715742
-71.3,0.24064036,0.022596324
-71.2,0.23887466,0.022489151
-71.1,0.23712964,0.022377068
-71.0,0.23540549,0.022259187
-70.9,0.23370332,0.022144528
-70.8,0.23201218,0.02202217
-70.7,0.23033613,0.021875974
-70.6,0.22867042,0.021706976
-70.5,0.22702475,0.021533541
-70.4,0.22538939,0.021351073
-70.3,0.22376984,0.021157775
-70.2,0.22216327,0.020948343
-70.1,0.22057416,0.020742726
-70.0,0.21899891,0.020543156
-69.9,0.21743779,0.020356458
-69.8,0.21588044,0.020177554
-69.7,0.21433148,0.020012444
-69.6,0.21278219,0.01985008
-69.5,0.21122974,0.019691968
-69.4,0.2096697,0.019538341
-69.3,0.20810802,0.019390436
-69.2,0.20654985,0.019242737
-69.1,0.2049919,0.019098008
-69.0,0.20343097,0.018953366
-68.9,0.20186333,0.018815061
-68.8,0.20030214,0.018689215
-68.7,0.19873075,0.01857662
-68.6,0.19713968,0.018480513
-68.5,0.19553524,0.018392578
-68.4,0.19394238,0.01830481
-68.3,0.19234341,0.018224223
-68.2,0.19074374,0.018141
-68.1,0.18914714,0.01805813
-68.0,0.18754983,0.017973585
-67.9,0.18594919,0.01788584
-67.8,0.18433861,0.017790949
-67.7,0.18272805,0.017696021
-67.6,0.18111221,0.017599514
-67.5,0.17948398,0.017505007
-67.4,0.17785421,0.017416032
-67.3,0.17622463,0.017325686
-67.2,0.17457993,0.01724651
-67.1,0.17292534,0.017177219
-67.0,0.17126662,0.017112467
-66.9,0.16958106,0.01705819
-66.8,0.16787827,0.017013056
-66.7,0.16615261,0.016977094
-66.6,0.16440769,0.01694659
-66.5,0.16263887,0.01692569
-66.4,0.16084345,0.016913498
