     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -30.01       -33.45        -5.67         8.94         0.08   236
      -29.77       -33.19        -9.59         9.47         0.07   203
      -29.52       -32.92       -13.96         9.92         0.08   265
      -29.27       -32.66       -17.10        10.15         0.06   232
      -29.02       -32.39       -17.70        11.04         0.08   261
      -28.76       -32.12       -18.78        11.50         0.07   223
      -28.51       -31.85       -16.08        10.34         0.08   269
      -28.27       -31.59       -14.30         9.42         0.07   219
      -28.01       -31.31       -11.02         9.68         0.08   310
      -27.76       -31.05        -6.61         9.47         0.07   249
      -27.51       -30.78        -1.21         8.14         0.09   299
      -27.27       -30.51         2.04         8.01         0.07   275
      -27.01       -30.24         5.09         9.08         0.07   314
      -26.77       -29.98         8.78        11.75         0.06   252
      -26.51       -29.71        13.69        11.18         0.08   303
      -26.26       -29.44        18.32        10.95         0.07   241
      -26.01       -29.17        24.46        11.87         0.06   323
      -25.76       -28.89        28.85        10.62         0.06   302
      -25.51       -28.63        29.87         9.75         0.07   354
      -25.26       -28.36        31.38         9.01         0.07   314
      -25.01       -28.08        33.63         8.88         0.07   384
      -24.77       -27.82        33.00         7.69         0.06   347
      -24.51       -27.54        32.63         7.61         0.08   388
      -24.26       -27.26        32.56         6.53         0.06   349
      -24.02       -27.00        32.87         6.88         0.07   403
      -23.76       -26.72        34.62         7.57         0.05   367
      -23.51       -26.45        35.33         8.17         0.07   433
      -23.26       -26.18        36.47         8.75         0.07   385
      -23.02       -25.91        36.23         8.98         0.07   435
      -22.77       -25.64        35.75         7.97         0.08   388
      -22.51       -25.36        33.61         8.04         0.06   447
      -22.26       -25.08        30.15         8.64         0.07   387
      -22.01       -24.81        26.08         8.62         0.05   451
      -21.76       -24.54        22.20         8.10         0.06   393
      -21.51       -24.26        18.42         8.55         0.08   424
      -21.26       -23.99        12.61         8.08         0.05   375
      -21.01       -23.71         8.43         8.40         0.07   413
      -20.76       -23.44         4.22         7.77         0.06   403
      -20.51       -23.17         0.24         7.82         0.08   486
      -20.26       -22.88        -3.55         7.41         0.06   413
      -20.01       -22.61        -8.32         9.07         0.07   430
      -19.76       -22.33       -11.78         9.29         0.07   405
      -19.51       -22.06       -16.61        10.13         0.08   440
      -19.26       -21.78       -22.32        11.38         0.07   410
      -19.01       -21.51       -28.68        11.63         0.07   478
      -18.76       -21.23       -33.28        11.96         0.06   425
      -18.51       -20.95       -38.58        13.25         0.07   487
      -18.26       -20.67       -43.34        13.05         0.07   416
      -18.01       -20.40       -48.67        12.35         0.07   473
      -17.76       -20.12       -51.47        12.79         0.06   404
      -17.51       -19.84       -53.32        11.35         0.07   485
      -17.26       -19.56       -54.27        10.70         0.07   362
      -17.01       -19.28       -53.06        12.46         0.08   421
      -16.76       -19.00       -52.98        11.63         0.06   338
      -16.51       -18.72       -49.09        12.69         0.07   432
      -16.26       -18.45       -46.51        12.97         0.06   342
      -16.01       -18.16       -42.21        14.17         0.08   448
      -15.76       -17.89       -37.26        14.19         0.07   337
      -15.51       -17.60       -32.14        14.75         0.07   389
      -15.26       -17.32       -25.83        13.20         0.05   300
      -15.01       -17.05       -22.34        13.36         0.08   413
      -14.77       -16.77       -17.33        13.62         0.06   309
      -14.51       -16.48       -10.25        13.82         0.08   409
      -14.26       -16.20        -5.79        12.34         0.06   319
      -14.01       -15.92        -2.38        13.12         0.08   403
      -13.75       -15.64         2.83        13.80         0.07   345
      -13.51       -15.36         7.45        12.73         0.07   400
      -13.25       -15.08        13.72        11.76         0.06   350
      -13.01       -14.80        17.98        12.47         0.07   447
      -12.76       -14.52        22.76        11.22         0.06   395
      -12.51       -14.23        25.15        11.63         0.08   462
      -12.26       -13.95        27.95        10.73         0.06   388
      -12.00       -13.67        29.14        10.57         0.07   472
      -11.76       -13.39        31.91         9.83         0.06   397
      -11.50       -13.10        34.33         9.82         0.08   486
      -11.25       -12.81        35.41         8.98         0.06   422
      -11.01       -12.54        34.55         8.72         0.07   530
      -10.75       -12.25        34.64         9.34         0.06   477
      -10.51       -11.98        36.79        12.37         0.07   562
      -10.26       -11.69        39.00        10.22         0.07   478
      -10.01       -11.41        40.08        11.24         0.08   581
       -9.76       -11.13        41.95        11.18         0.06   513
       -9.51       -10.84        43.32        12.69         0.07   592
       -9.26       -10.56        44.91        14.67         0.07   468
       -9.01       -10.27        48.06        13.88         0.08   550
       -8.75        -9.99        53.21        14.36         0.06   472
       -8.51        -9.71        60.01        15.14         0.07   581
       -8.26        -9.42        66.79        17.40         0.06   564
       -8.01        -9.14        72.05        19.07         0.08   630
       -7.76        -8.85        82.25        19.84         0.06   525
       -7.51        -8.57        92.56        20.94         0.08   619
       -7.25        -8.28       101.89        20.23         0.06   500
       -7.00        -8.00       112.11        21.62         0.07   619
       -6.75        -7.71       121.56        19.44         0.06   574
       -6.50        -7.42       127.61        16.88         0.08   772
       -6.25        -7.14       130.48        15.01         0.06   690
       -6.00        -6.86       130.12        15.15         0.08   850
       -5.75        -6.57       127.09        15.37         0.06   691
       -5.51        -6.29       122.25        16.42         0.08   878
       -5.25        -6.00       115.51        17.79         0.06   734
       -5.00        -5.72       109.81        17.67         0.08   825
       -4.75        -5.43       105.76        17.91         0.06   590
       -4.50        -5.14        98.78        17.82         0.08   715
       -4.25        -4.86        92.62        17.97         0.06   553
       -4.00        -4.57        90.66        17.16         0.08   695
       -3.75        -4.29        87.53        17.40         0.06   560
       -3.50        -4.00        87.03        17.41         0.08   624
       -3.25        -3.72        84.90        16.31         0.06   460
       -3.00        -3.43        83.16        16.01         0.08   530
       -2.75        -3.15        82.41        19.63         0.06   339
       -2.50        -2.86        79.47        18.38         0.08   442
       -2.25        -2.57        78.75        18.75         0.06   299
       -2.00        -2.29        78.52        18.69         0.08   396
       -1.75        -2.00        79.80        18.16         0.06   291
       -1.51        -1.72        80.21        21.22         0.08   313
       -1.24        -1.42        77.15        17.90         0.06   243
       -1.00        -1.14        73.88        17.45         0.08   356
       -0.75        -0.85        72.08        17.99         0.06   285
       -0.50        -0.57        73.77        19.20         0.08   418
       -0.25        -0.29        81.08        22.89         0.06   317
       -0.00        -0.00        76.00        24.33         0.08   398
        0.25         0.28        76.26        22.99         0.06   274
        0.50         0.57        77.20        22.25         0.08   374
        0.75         0.86        76.88        21.52         0.06   340
        1.00         1.14        74.69        20.80         0.08   454
        1.25         1.43        78.72        21.60         0.06   361
        1.50         1.72        77.13        21.64         0.08   458
        1.75         2.00        73.67        20.67         0.06   372
        2.01         2.29        72.84        21.87         0.08   501
        2.25         2.58        73.97        23.39         0.06   401
        2.51         2.87        76.33        23.10         0.08   522
        2.75         3.14        79.12        23.04         0.06   426
        3.01         3.44        81.28        22.75         0.08   520
        3.25         3.71        84.87        21.78         0.06   447
        3.50         4.00        84.53        21.62         0.08   609
        3.75         4.29        80.07        22.68         0.06   444
        4.01         4.58        80.71        21.23         0.08   648
        4.26         4.86        82.40        20.02         0.06   531
        4.50         5.15        82.58        21.87         0.08   782
        4.75         5.43        81.90        23.93         0.06   610
        5.00         5.72        83.07        22.71         0.08   802
        5.25         6.00        83.16        20.78         0.06   610
        5.51         6.29        84.10        19.86         0.08   783
        5.75         6.57        85.85        18.09         0.06   629
        6.00         6.86        88.30        16.28         0.08   834
        6.25         7.14        90.28        16.72         0.06   639
        6.50         7.43        89.67        16.43         0.08   817
        6.75         7.71        88.71        15.06         0.06   647
        7.00         8.00        90.10        13.24         0.08   827
        7.25         8.28        90.00        13.13         0.06   662
        7.51         8.57        89.75        13.01         0.08   775
        7.76         8.85        88.58        13.19         0.06   647
        8.00         9.14        87.60        12.62         0.08   778
        8.26         9.42        83.53        12.89         0.06   637
        8.51         9.70        79.69        12.47         0.07   797
        8.75         9.99        77.16        13.80         0.06   676
        9.01        10.27        72.98        14.61         0.08   815
        9.25        10.56        69.03        13.81         0.06   682
