     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -30.01       -33.44        -3.69         5.23         0.14    84
      -29.49       -32.89       -10.61         4.40         0.14    83
      -29.01       -32.38       -11.72         3.59         0.14    78
      -28.50       -31.84       -10.71         5.94         0.14    82
      -27.99       -31.29        -7.18         7.10         0.15    95
      -27.49       -30.75         0.31         6.46         0.14    93
      -26.99       -30.22         5.56         7.29         0.15    90
      -26.50       -29.69        12.16         8.47         0.15    85
      -25.99       -29.14        21.19         9.41         0.14    84
      -25.52       -28.63        28.67        10.75         0.14    86
      -25.00       -28.07        37.09        11.57         0.14    74
      -24.49       -27.51        37.17        11.05         0.14    74
      -24.01       -26.99        32.72         9.19         0.15    82
      -23.47       -26.41        33.47        10.01         0.14    83
      -22.98       -25.88        30.70         9.58         0.14    99
      -22.50       -25.34        27.23         8.35         0.14    86
      -21.98       -24.77        20.47        10.92         0.14    81
      -21.48       -24.23        16.02         9.56         0.14    84
      -20.98       -23.68         3.92         7.59         0.14   107
      -20.52       -23.17        -2.57         6.78         0.14    95
      -20.00       -22.59        -9.61         9.53         0.15    87
      -19.49       -22.03       -23.86        11.45         0.14    97
      -18.99       -21.48       -34.40        10.24         0.15   108
      -18.50       -20.93       -44.30        11.10         0.14   113
      -18.01       -20.39       -52.21         9.67         0.14   120
      -17.52       -19.84       -52.52         8.55         0.14   105
      -16.99       -19.26       -51.62         8.11         0.14    85
      -16.51       -18.72       -46.55         6.99         0.14    77
      -16.00       -18.15       -35.41         9.05         0.14    83
      -15.50       -17.60       -25.06         9.28         0.15    90
      -15.01       -17.05       -15.65         8.31         0.15    90
      -14.49       -16.46        -7.26         8.09         0.13    91
      -13.99       -15.90         2.89         8.31         0.15    99
      -13.49       -15.34         9.77         7.16         0.14    85
      -12.99       -14.78        14.90         7.49         0.14   105
      -12.48       -14.20        21.80         6.65         0.14   111
      -11.98       -13.64        29.52         7.22         0.14   104
      -11.48       -13.08        34.74         5.20         0.15   115
      -11.00       -12.54        36.58         4.87         0.14   112
      -10.50       -11.97        37.49         4.81         0.14   120
       -9.99       -11.39        38.04         7.18         0.15   113
       -9.50       -10.83        42.19         8.51         0.14   106
       -8.99       -10.25        48.34        10.41         0.14   112
       -8.48        -9.67        62.27        13.38         0.15   133
       -8.00        -9.13        78.98        14.54         0.14   136
       -7.49        -8.55        91.75        16.31         0.15   132
       -6.97        -7.96       107.02        15.88         0.14   125
       -6.50        -7.42       122.04        15.19         0.14   119
       -5.98        -6.83       126.10        11.85         0.15   162
       -5.50        -6.28       125.28        11.54         0.14   182
       -5.00        -5.71       116.88        15.48         0.15   142
       -4.50        -5.15       110.96        15.94         0.15   118
       -3.98        -4.54        98.36        15.22         0.14   138
       -3.48        -3.98        92.00        12.72         0.15   154
       -3.00        -3.43        90.62        10.00         0.14   143
       -2.50        -2.86        85.11        12.44         0.14   119
       -2.04        -2.34        85.35        11.86         0.14    93
       -1.49        -1.71        73.99        11.88         0.15    81
       -1.00        -1.14        71.20        10.49         0.14    80
       -0.49        -0.56        67.68        11.70         0.14    72
        0.00         0.01        64.62        10.15         0.14    79
        0.43         0.50        69.04         9.97         0.13    54
        0.99         1.13        67.86        12.16         0.15    62
        1.53         1.75        73.09        11.16         0.14    73
        1.98         2.27        73.38        12.92         0.14    86
        2.54         2.90        77.47        14.74         0.14    94
        3.00         3.43        85.31        14.64         0.15   143
        3.51         4.01        92.03        10.87         0.14   163
        4.00         4.58        91.90        13.79         0.15   162
